| index                      |        var |   var_internal |   var_external |   var_means |
|:---------------------------|-----------:|---------------:|---------------:|------------:|
| sackin_index               |   0.014342 |       0.004221 |       0.006405 |    0.022885 |
| total_path_length          |   0.014342 |       0.004221 |       0.006405 |    0.022885 |
| total_internal_path_length |   0.014342 |       0.004221 |       0.006405 |    0.022885 |
| colless_index              |   0.012809 |       0.004282 |       0.006362 |    0.023474 |
| quadratic_colless_index    |   0.017637 |       0.006620 |       0.007840 |    0.022771 |
| total_cophenetic_index     |   0.017817 |       0.006723 |       0.007831 |    0.022940 |
| wiener_index               | nan        |     nan        |     nan        |  nan        |
| s_shape                    | nan        |     nan        |     nan        |  nan        |
| B_1_index                  | nan        |     nan        |     nan        |  nan        |
| cherry_index               |   0.007525 |       0.000000 |       0.004320 |    0.009873 |
| modified_cherry_index      |   0.007525 |       0.000000 |       0.004320 |    0.009873 |
| IL_number                  | nan        |     nan        |     nan        |  nan        |
| pitchforks                 | nan        |     nan        |     nan        |  nan        |
| four_caterpillars          | nan        |     nan        |     nan        |  nan        |
| double_cherries            | nan        |     nan        |     nan        |  nan        |
| rogers_j_index             |   0.005333 |       0.000703 |       0.003458 |    0.004406 |
| symmetry_nodes_index       |   0.005256 |       0.000625 |       0.003401 |    0.004216 |
| total_I                    | nan        |     nan        |     nan        |  nan        |
| total_I_prime              | nan        |     nan        |     nan        |  nan        |
| total_I_w                  | nan        |     nan        |     nan        |  nan        |
| average_leaf_depth         |   0.014342 |       0.004221 |       0.006405 |    0.022885 |
| average_vertex_depth       |   0.014342 |       0.004221 |       0.006405 |    0.022885 |
| d_index                    | nan        |     nan        |     nan        |  nan        |
| maximum_depth              | nan        |     nan        |     nan        |  nan        |
| diameter                   | nan        |     nan        |     nan        |  nan        |
| area_per_pair_index        | nan        |     nan        |     nan        |  nan        |
| maximum_width              | nan        |     nan        |     nan        |  nan        |
| maxdiff_widths             | nan        |     nan        |     nan        |  nan        |
| modified_maxdiff_widths    | nan        |     nan        |     nan        |  nan        |
| max_width_over_max_depth   | nan        |     nan        |     nan        |  nan        |
| rooted_quartet_index       | nan        |     nan        |     nan        |  nan        |
| stairs1                    |   0.005333 |       0.000703 |       0.003458 |    0.004406 |
| stairs2                    | nan        |     nan        |     nan        |  nan        |
| mean_I                     | nan        |     nan        |     nan        |  nan        |
| mean_I_prime               | nan        |     nan        |     nan        |  nan        |
| mean_I_w                   | nan        |     nan        |     nan        |  nan        |
| I_2_index                  | nan        |     nan        |     nan        |  nan        |
| treeness                   |   0.000316 |       0.000000 |       0.000355 |    0.014484 |
| stemminess                 |   0.000296 |       0.000075 |       0.000351 |    0.003079 |
| variance_of_leaves_depths  | nan        |     nan        |     nan        |  nan        |
| ladder_length              | nan        |     nan        |     nan        |  nan        |
| corrected_colless_index    |   0.012809 |       0.004282 |       0.006362 |    0.023474 |
| B_2_index                  |   0.039422 |       0.020369 |       0.006487 |    0.002699 |
| root_imbalance             |   0.034067 |       0.037164 |       0.000000 |    0.003427 |
| I_root                     |   0.034067 |       0.037164 |       0.000000 |    0.003427 |
| furnas_rank                | nan        |     nan        |     nan        |  nan        |
| colijn_plazotta_rank       | nan        |     nan        |     nan        |  nan        |
