	index	database_var
0	sackin_index	0.022885
1	total_path_length	0.022885
2	total_internal_path_length	0.022885
3	colless_index	0.023474
4	quadratic_colless_index	0.022771
5	total_cophenetic_index	0.022940
6	wiener_index	nan
7	s_shape	nan
8	B_1_index	nan
9	cherry_index	0.009873
10	modified_cherry_index	0.009873
11	IL_number	nan
12	pitchforks	nan
13	four_caterpillars	nan
14	double_cherries	nan
15	rogers_j_index	0.004406
16	symmetry_nodes_index	0.004216
17	total_I	nan
18	total_I_prime	nan
19	total_I_w	nan
20	average_leaf_depth	0.022885
21	average_vertex_depth	0.022885
22	d_index	nan
23	maximum_depth	0.020419
24	diameter	nan
25	area_per_pair_index	nan
26	maximum_width	nan
27	maxdiff_widths	nan
28	modified_maxdiff_widths	nan
29	max_width_over_max_depth	nan
30	rooted_quartet_index	nan
31	stairs1	0.004406
32	stairs2	nan
33	mean_I	nan
34	mean_I_prime	nan
35	mean_I_w	nan
36	I_2_index	nan
37	treeness	0.014484
38	stemminess	0.003079
39	variance_of_leaves_depths	nan
40	ladder_length	nan
41	corrected_colless_index	0.023474
42	B_2_index	0.002699
43	root_imbalance	0.003427
44	I_root	0.003427
45	furnas_rank	0.003060
46	colijn_plazotta_rank	nan
