	index	database_var
0	average_leaf_depth	0.006191
1	variance_of_leaves_depths	nan
2	sackin_index	0.006191
3	total_path_length	0.006191
4	total_internal_path_length	0.006191
5	average_vertex_depth	0.006191
6	colless_index	0.006734
7	corrected_colless_index	0.006734
8	quadratic_colless_index	0.007961
9	s_shape	nan
10	d_index	nan
11	total_cophenetic_index	0.008024
12	B_1_index	nan
13	B_2_index	0.028281
14	maximum_depth	nan
15	maximum_width	nan
16	maxdiff_widths	nan
17	modified_maxdiff_widths	nan
18	max_width_over_max_depth	nan
19	cherry_index	0.003319
20	modified_cherry_index	0.003319
21	IL_number	nan
22	pitchforks	nan
23	four_caterpillars	nan
24	double_cherries	nan
25	ladder_length	nan
26	diameter	nan
27	area_per_pair_index	nan
28	wiener_index	nan
29	root_imbalance	0.019180
30	I_root	0.019180
31	rogers_j_index	0.001746
32	symmetry_nodes_index	0.001608
33	stairs1	0.001746
34	stairs2	nan
35	I_2_index	nan
36	mean_I	nan
37	total_I	nan
38	mean_I_prime	nan
39	total_I_prime	nan
40	mean_I_w	nan
41	total_I_w	nan
42	rooted_quartet_index	nan
43	colijn_plazotta_rank	nan
44	furnas_rank	nan
45	treeness	0.008432
46	stemminess	0.001660
